Model,Accuracy,Precision,Recall,F1,AUC,Sensitivity,Specificity
SCT,0.985632183908046,0.9884393063583815,0.9827586206896551,0.9855907780979827,0.9991663363720439,0.9827586206896551,0.9885057471264368
GRL,0.9896551724137931,0.9797297297297297,1.0,0.9897610921501706,0.9996360153256706,1.0,0.9793103448275862
DA-SCT,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9990844233055886,0.9827586206896551,0.9827586206896551
DA-GRL,0.9977011494252873,0.9977011494252873,0.9977011494252873,0.9977011494252873,0.9999762187871581,0.9977011494252873,0.9977011494252873
